Name,Latitude,Longitude,ZCTA5CE10
P.S. 100 Isaac Clason,40.822552,-73.86276,10473
M.S. X101 Edward R. Byrne,40.82708,-73.829211,10465
P.S. 107,40.819221,-73.868735,10473
The Dr. Emmett W. Bassett School,40.828474,-73.857392,10472
J.H.S. 123 James M. Kieran,40.824989,-73.874162,10472
P.S. 130 Abram Stevens Hewitt,40.817742,-73.901709,10455
J.H.S. 131 Albert Einstein,40.822925,-73.859998,10473
P.S. 138 Samuel Randall,40.822288,-73.853157,10473
P.S. X140 The Eagle School,40.823318,-73.907489,10456
P.S. 146 Edward Collins,40.824717,-73.905734,10456
P.S. 152 Evergreen,40.823941,-73.880479,10472
P.S. 182,40.818925,-73.856976,10473
Bronx Studio School for Writers and Artists,40.820388,-73.892961,10459
Women's Academy of Excellence,40.815043,-73.85607,10473
Renaissance High School for Musical Theater and th,40.839775,-73.839583,10461
M.S. 301 Paul L. Dunbar,40.822291,-73.906739,10456
M.S. 302 Luisa Dessus Cruz,40.816078,-73.901599,10455
P.S. 304 Early Childhood School,40.82708,-73.829211,10465
Millennium Art Academy,40.821218,-73.85593,10473
Pelham Lab High School,40.839775,-73.839583,10461
The Longwood Academy of Discovery,40.820108,-73.898399,10459
The School for Inquiry and Social Justice,40.824989,-73.874162,10472
Schuylerville Preparatory High School,40.839775,-73.839583,10461
Bronx River High School,40.839775,-73.839583,10461
"Archimedes Academy for Math, Science and Technolog",40.815043,-73.85607,10473
Urban Institute of Mathematics,40.826794,-73.818083,10465
The Bronx Mathematics Preparatory School,40.815043,-73.85607,10473
Antonia Pantoja Preparatory Academy: A College Boa,40.821218,-73.85593,10473
Bronx Community High School,40.821218,-73.85593,10473
Bronx Delta School,40.826794,-73.818083,10465
Herbert H. Lehman High School,40.839775,-73.839583,10461
Bronx Academy for Multi-Media,40.815827,-73.885284,10474
Bronx Bridges High School,40.821218,-73.85593,10473
Soundview Academy for Culture and Scholarship,40.822925,-73.859998,10473
Gotham Collaborative High School,40.821218,-73.85593,10473
Mott Hall Community School,40.826794,-73.818083,10465
Longwood Preparatory Academy,40.817741,-73.897876,10459
Bronx Arena High School,40.820486,-73.881187,10473
Westchester Square Academy,40.839775,-73.839583,10461
Bronx Compass High School,40.821218,-73.85593,10473
Pugsley Preparatory Academy,40.829153,-73.857882,10472
P.S. 583,40.826949,-73.859622,10472
Virtual Innovators Academy,40.823318,-73.907489,10456
P.S./M.S. 004 Crotona Park West,40.841758,-73.897943,10457
P.S. 011 Highbridge,40.839693,-73.92589,10452
J.H.S. 022 Jordan L. Mott,40.832022,-73.91435,10456
P.S. 028 Mount Hope,40.848344,-73.903821,10457
P.S. 035 Franz Siegel,40.828009,-73.917705,10456
P.S. 042 Claremont,40.838636,-73.903243,10457
P.S. 053 Basheer Quisim,40.832648,-73.911906,10456
P.S. 055 Benjamin Franklin,40.835934,-73.90497,10456
P.S. 058,40.846383,-73.898826,10457
