Name,Latitude,Longitude,ZCTA5CE10,nearest_route_id,nearest_route_distance,accessibility_category
Central Queens Academy Charter School,40.736886,-73.875053,11373.0,Q58,0.12072166026739758,Very accessible
Peninsula Preparatory Academy Charter School,40.600659,-73.752565,11691.0,Q35,0.19404358845095307,Very accessible
Middle Village Preparatory Charter School,40.710973,-73.888325,11379.0,Q54,0.08719675893235042,Very accessible
VOICE Charter School of New York,40.760376,-73.939984,11106.0,Q102,0.16248015996443807,Very accessible
New Visions Charter High School for Advanced Math,40.673949,-73.782684,11434.0,Q7,0.27913119900598304,Accessible
Growing Up Green Charter School,40.753503,-73.93562,11101.0,Q108,0.1559717662118112,Very accessible
Success Academy Charter School - Rosedale,40.655811,-73.738793,11422.0,Q85,0.18221277910870703,Very accessible
Success Academy Charter School - Springfield Garde,40.681881,-73.752772,11413.0,Q77,0.10700316459871624,Very accessible
Challenge Preparatory Charter School,40.600137,-73.764065,11691.0,QM17,0.3111684956454655,Accessible
Riverton Street Charter School,40.68943,-73.763609,11412.0,Q3,0.1508129127607227,Very accessible
Rochdale Early Advantage Charter School,40.680016,-73.778613,11434.0,QM21,0.22733509987842795,Very accessible
Academy of the City Charter School,40.756181,-73.902197,11377.0,Q47,0.4283007222791131,Accessible
Growing Up Green Charter School II,40.713084,-73.807561,11432.0,Q25,0.4343004403418218,Accessible
New Visions Charter High School for the Humanities,40.586012,-73.825317,11694.0,Q21,0.10240983840207962,Very accessible
Success Academy Charter School - South Jamaica,40.675626,-73.799756,11436.0,Q40,0.09930243538642423,Very accessible
Success Academy Charter School - Far Rockaway,40.604019,-73.749891,11691.0,Q114,0.14596721190671794,Very accessible
Forte Preparatory Academy Charter School,40.737387,-73.87786,11373.0,Q58,0.03550892322505647,Very accessible
Elm Community Charter School,40.73793,-73.883528,11373.0,Q59,0.2934095463053276,Accessible
Our World Neighborhood Charter School 2,40.671281,-73.856042,11414.0,BM5,0.047888891331975776,Very accessible
Valence College Preparatory Charter School,40.729413,-73.858853,11374.0,Q72,0.1314365733506648,Very accessible
New Dawn Charter High School II,40.706074,-73.799776,11432.0,Q112,0.10568112447331592,Very accessible
Renaissance Charter School 2,40.741153,-73.881555,11373.0,Q58,0.3282681065166572,Accessible
Achievement First Legacy Charter School,40.688263,-73.763472,11412.0,Q3,0.22501597305121512,Very accessible
Our World Neighborhood Charter School 3,40.750857,-73.858255,11368.0,Q48,0.006931866181866683,Very accessible
Success Academy Charter School - NYC 14,40.683802,-73.813926,11420.0,Q9,0.3145128385922353,Accessible
Central Queens Academy Charter School II,40.736886,-73.875053,11373.0,Q58,0.12072166026739758,Very accessible
Merrick Academy - Queens Public Charter School,40.676318,-73.753009,11413.0,Q77,0.24901971880506113,Very accessible
Renaissance Charter School,40.749934,-73.884817,11372.0,Q49,0.13213487320134765,Very accessible
Our World Neighborhood Charter School,40.755714,-73.924175,11106.0,Q101,0.32961852557320337,Accessible
ALC - Royal 180 Academy,40.702776,-73.805044,11435.0,Q56,0.12730221056051777,Very accessible
ALC - LINDEN ACADEMY,40.769649,-73.833164,11354.0,QM20,0.10001701649740811,Very accessible
ALC - JAMAICA ACADEMY,40.702776,-73.805044,11435.0,Q56,0.12730221056051777,Very accessible
ALC - August Martin HS,40.673949,-73.782684,11434.0,Q7,0.27913119900598304,Accessible
ALC - Beach Channel Educational Complex,40.586012,-73.825317,11694.0,Q21,0.10240983840207962,Very accessible
