latitude,longitude,route_id,ZCTA5CE10
40.854565,-73.911591,BX3,10453
40.699297,-73.911223,B52,11237
40.857292,-73.867321,BX12,10462
40.701551,-73.790447,Q4,11433
40.521241,-74.217312,SIM26,10309
40.583077,-73.95458,BM2,11235
40.711148,-73.948499,Q54,11206
40.662151,-73.893256,B20,11207
40.755988,-73.983132,QM17,10036
40.69693,-73.935966,B54,11206
40.704487,-73.918961,B38,11237
40.759232,-73.968227,QM32,10022
40.867294,-73.896876,BX28,10468
40.845557,-73.866194,BX22,10462
40.574051,-74.096488,S51,10306
40.70257,-73.799693,Q42,11433
40.700092,-73.830212,Q56,11418
40.704707,-74.015088,SIM35,10004
40.729307,-73.781349,QM35,11366
40.782063,-73.836719,Q76,11356
40.676389,-73.819211,Q10,11420
40.75012,-73.939706,Q101,11101
40.686724,-73.975391,B52,11217
40.71262,-73.783923,Q76,11432
40.643483,-74.072927,S74,10301
40.760061,-73.827961,Q15A,11354
40.7444,-73.985316,BXM11,10016
40.704442,-73.792612,Q56,11433
40.821287,-73.891671,BX5,10459
40.853696,-73.907371,BX32,10453
40.762343,-73.972454,M31,10022
40.754113,-73.942386,Q95,11101
40.678743,-73.921588,B47,11233
40.541707,-74.206603,S56,10309
40.673399,-73.764355,Q85,11434
40.746226,-73.979892,BXM2,10016
40.750051,-73.939524,Q102,11101
40.633884,-74.096999,S96,10301
40.869281,-73.825871,BX29,10475
40.640208,-74.118016,S46,10310
40.653293,-73.86626,B84,11208
40.60406,-73.752675,Q114,11691
40.502982,-74.251287,SIM8,10307
40.722088,-73.760168,Q76,11427
40.635107,-73.900944,B17,11236
40.668556,-73.931625,B17,11213
40.712403,-73.900537,QM34,11385
40.74684,-73.712563,QM2,11004
40.574887,-74.165154,SIM6,10314
40.716082,-74.004731,SIM1,10007
40.642682,-73.979372,F1,11218
40.58808,-73.919945,BM4,11229
40.725672,-74.003915,M21,10012
40.878665,-73.897767,BX2,10463
40.760727,-73.968725,SIM1,10022
40.729487,-73.862859,Q38,11374
40.876237,-73.833977,BX23,10475
40.807544,-73.852337,BX39,10473
40.615959,-73.914388,B47,11234
40.875023,-73.879502,BX30,10467
40.842404,-73.853403,BX42,10462
40.705864,-73.801776,Q112,11432
40.75667,-74.00431,M34+,10001
40.823059,-73.855739,BX5,10473
40.65549,-73.907175,B60,11212
40.712275,-73.784937,Q77,11432
40.729453,-73.889932,Q59,11378
40.757396,-73.783423,Q76,11358
40.567396,-73.882737,Q35,11697
40.760936,-73.827284,Q48,11354
40.678881,-73.903341,B20,11207
40.712876,-74.009492,BM2,10279
