ZCTA20	ZCTA_AREA20	TOT_POP_2020	COUNT_NTM_STOPS	STOPS_PER_CAPITA	STOPS_PER_SQMILE
02420	7.037624836	14726	41	2.7841911316	5.8258290291
02421	9.569743156	18578	64	3.444934845	6.6877446175
02445	2.611115932	20520	52	2.5341131687	19.914855957
02446	1.284278154	29711	23	.7741240859	17.9088935852
02451	5.320045471	17470	69	3.9496278763	12.9698143005
02452	3.813303709	15636	22	1.4070094824	5.7692756653
02453	3.591936111	29289	105	3.5849635601	29.2321453095
02457	.202512518	1812	0	0	0
02458	1.965608597	12050	61	5.0622406006	31.0336456299
02459	5.033626556	18631	73	3.9182007313	14.5024662018
02460	1.347880363	9885	32	3.2372281551	23.7409801483
02461	1.535160303	6923	22	3.1778130531	14.3307514191
02462	.698407471	1222	2	1.6366611719	2.8636577129
02464	.550568163	3706	23	6.2061519623	41.7750282288
02465	2.151109457	11967	47	3.9274671078	21.8491897583
02466	1.587349415	9292	31	3.3362030983	19.5294113159
02467	4.905631542	22982	36	1.5664433241	7.3385047913
02468	1.536018968	5522	0	0	0
02472	4.030200005	35951	93	2.5868542194	23.0757770538
02474	3.058467388	27853	77	2.764513731	25.1760082245
02476	2.084413052	17526	81	4.6217050552	38.8598594666
02478	4.645388126	26123	71	2.7179114819	15.2839756012
02481	6.089624405	16121	10	.6203089356	1.6421374083
02482	3.720998049	10814	5	.4623636007	1.3437255621
02492	9.505484581	20679	15	.7253735662	1.5780363083
02493	16.820158005	12103	12	.9914897084	.7134296894
02494	2.800426722	10498	26	2.476662159	9.2842988968
02532	13.78708744	13443	25	1.8597038984	1.8132908344
02534	2.7391994	1082	1	.9242144227	.3650701642
02535	24.366020203	2005	0	0	0
02536	27.364089966	19629	9	.4585052729	.3288981915
02537	13.721250534	6824	3	.439624846	.2186389565
02538	6.264110565	4129	5	1.2109469175	.7981979251
02539	26.813188553	4358	0	0	0
02540	11.004794121	8241	13	1.5774784088	1.1813033819
02542	28.545043945	948	0	0	0
02543	11.322630882	680	2	2.9411764145	.1766373962
02553	.197753027	96	1	10.4166669846	5.0568127632
02554	39.987010956	11023	194	17.5995635986	4.8515753746
02556	3.946893454	2554	3	1.1746280193	.7600914836
02557	3.240065813	4701	0	0	0
02558	1.116744518	1632	4	2.4509804249	3.5818397999
02559	5.332082272	3228	2	.6195786595	.3750879765
02561	.829073668	257	1	3.8910505772	1.2061654329
